文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
0,100pah,3.6.2,2017-07-16 00:26:00,MEMBER,没有提供 option，不太能判断出来原因。,markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,0,无
1,beipiaoyu2011,3.6.2,2017-07-19 13:06:17,NONE AUTHOR,"```{                title: {                    text: '一致预期净利润变动图',                    left: 'center',                    textStyle: {                        color: '9a9a9a',                        fontSize: 12                    }                },                tooltip: {                    trigger: 'axis',                    hideDelay: 0,                    transitionDuration: 0,                    formatter: function (params) {                        if (Array.isArray(params)) {                            hyProfitTbChart.group = connectGroupId;                            hyProfitChart.group = connectGroupId;//重新绑定联动                            if (hyProfitTbChart && !hyProfitTbChart.getOption().tooltip[0].show) {                                hyProfitTbChart.dispatchAction({                                    type: 'showTip'                                });                            }                            var res = params[0].name + '<br/';                            // var v1 = params[0].value ? (params[0].value / 10000).toFixed(2) + '亿元' : '',                            //     v2 = params[1].value ? (params[1].value / 10000).toFixed(2) + '亿元' : '';                            var v1 = util.getUnitResult(params[0].value, hyProfitUnit, 2).tooltip,                                v2 = util.getUnitResult(params[1].value, hyProfitUnit, 2).tooltip;                            res += params[0].seriesName.substr(0, 5) + '净利润 : ' + v1 + '<br/';                            res += params[1].seriesName.substr(0, 5) + '净利润 : ' + v2;                            return res;                        } else {                            if (hyProfitTbChart && hyProfitTbChart.getOption().tooltip[0].show) {                                hyProfitTbChart.dispatchAction({                                    type: 'hideTip'                                });                            }                            hyProfitChart.group = null;//解除联动                            hyProfitTbChart.group = null;//解除联动                            var stockinstr = '',                                stockoutstr = '',                                str1 = '',                                str2 = '',                                stockindata = params.name.stockin,                                stockoutdata = params.name.stockout;                            if (stockindata && stockindata.length) {                                stockinstr = getMarkPointStr(stockindata);                            }                            if (stockoutdata && stockoutdata.length) {                                stockoutstr = getMarkPointStr(stockoutdata);                            }                            if (stockinstr) str1 = '<tr<td colspan=""2""调入</td</tr' + stockinstr;                            if (stockoutstr) str2 = '<tr<td colspan=""2""调出</td</tr<tr' + stockoutstr;                            var res = '<table class=""table"" style=""padding:10px;""<tbody' +                                '<tr<td colspan=""2""' + params.data.coord[0] + '</td</tr' + str1 + str2 +                                '</tbody</table';                            return res;                        }                    },                    position: function (point, params, dom, rect, size) {                        var xdistance = point[0];                        //只有markpoint图形 时才有rect                        //鼠标在左侧时 tooltip 显示到右侧，鼠标在右侧时放不下时 tooltip 显示到左侧                        if (rect) {                            if (hyProfitChart.getWidth()  rect.x <= $(dom).width()  2) {                                xdistance = rect.x  $(dom).width()  15;                            } else {                                xdistance = rect.x + 10;                            }                        } else {                            if (hyProfitChart.getWidth()  point[0] <= $(dom).width()  2) {                                xdistance = point[0]  $(dom).width()  15;                            } else {                                xdistance = point[0] + 8;                            }                        }                        // 跟随鼠标                        return [xdistance, point[1]];                    }                },                color: ['f3926f', '00a1fd', 'ff0000'],                legend: {                    x: 'center',                    bottom: 20,                    selectedMode: false,                    data: legendData[0].data,                    textStyle: {                        color: '9a9a9a'                    }                },                grid: {                    left: 60,                    right: 60,                    top: 30,                    bottom: 60,                    borderWidth: 0                },                xAxis: [{                    type: 'category',                    data: dateData,                    axisLine: {                        show: true,                        lineStyle: {                            color: 'rgba(0,0,0,0.3)',                            width: 0,                            type: 'solid'                        }                    },                    axisTick: {                        lineStyle: {                            color: 'rgba(0,0,0,0.3)',                            type: 'solid'                        }                    },                    splitLine: {                        show: false                    },                    boundaryGap: false,                    axisLabel: {                        textStyle: {                            color: '9a9a9a'                        }                    }                }],                yAxis: [{                    type: 'value',                    // name: '净利润（亿元）',                    name: '净利润(' + hyProfitUnit + ')',                    axisLine: {                        show: true,                        lineStyle: {                            color: 'rgba(0,0,0,0.3)',                            width: 1,                            type: 'solid'                        }                    },                    nameGap: 12,                    nameTextStyle: {                        color: '15A4FA'                    },                    // interval: 4,                    splitLine: {                        show: true,                        lineStyle: {                            color: 'rgba(0,0,0,0.3)',                            width: 1,                            type: 'solid'                        }                    },                    axisLabel: {                        formatter: function (value) {                            // return util.dataFixed(value/10000).toFixed(0);                            var res = util.getUnitResult(value, hyProfitUnit, 0).yAxis;//本身数据是万                            // console.log(res)                            return res;                        },                        textStyle: {                            margin: 0,                            color: '9a9a9a'                        }                    },                    min: minY1,                    max: maxY1                }, {                    type: 'value',                    name: '行业指数价格',                    nameGap: 12,                    nameTextStyle: {                        color: '15A4FA'                    },                    axisLine: {                        show: true,                        lineStyle: {                            color: 'rgba(0,0,0,0.3)',                            width: 1,                            type: 'solid'                        }                    },                    // interval: 4,                    splitLine: {                        show: false                    },                    axisLabel: {                        formatter: function (value) {                            // return util.dataFixed(value);                            return value.toFixed(0);                        },                        textStyle: {                            color: '9a9a9a'                        }                    },                    min: minY2,                    max: maxY2                }],                dataZoom: [{                    type: 'slider',                    height: 0,                    show: false                }, {                    fiterMode: 'empty',                    height: 0,                    show: false                }],                series: [{                    name: legendData[0].text[0],                    type: ""line"",                    animation: false,                    data: profity1,                    symbol: 'none',                    itemStyle: {                        normal: {                            lineStyle: {                                width: '1'                            }                        },                        emphasis: {                            lineStyle: {                                width: '1'                            }                        }                    }                }, {                    name: legendData[0].text[1],                    type: ""line"",                    animation: false,                    data: profity2,                    symbol: 'none',                    itemStyle: {                        normal: {                            lineStyle: {                                width: '1'                            }                        },                        emphasis: {                            lineStyle: {                                width: '1'                            }                        }                    }                }, {                    name: legendData[0].text[2],                    type: ""line"",                    animation: false,                    itemStyle: {                        normal: {                            lineStyle: {                                width: '2'                            }                        },                        emphasis: {                            lineStyle: {                                width: '2'                            }                        }                    },                    yAxisIndex: 1,                    data: hyPrice,                    symbol: 'none',                    markPoint: {                        symbol: 'diamond',                        symbolSize: 12,                        label: {                            normal: {                                show: false                            },                            emphasis: {                                show: false                            }                        },                        data: equitychange                    }                }]            }```",markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,0,无
2,beipiaoyu2011,3.6.2,2017-07-19 13:07:13,NONE AUTHOR,"``` var equityItem = {                        name: obj,                        coord: [dateData[i], hyPrice[i]],                        y: yinstance + '%'                    };                    equitychange.push(equityItem);```",markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,0,无
3,beipiaoyu2011,3.6.2,2017-07-19 13:07:57,NONE AUTHOR,没法贴太多的代码，逻辑有点复杂,markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,-1,complicated
4,100pah,3.6.2,2017-07-21 00:49:08,MEMBER,其实可以使用 [scatter](http://echarts.baidu.com/option.htmlseriesscatter) 图或者 [custom series](http://echarts.baidu.com/option.htmlseriescustom) 来画标记，他们能被 clip。,markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,0,无
5,beipiaoyu2011,3.6.2,2017-07-24 15:00:35,NONE AUTHOR,@100pah 我找到了问题。是因为coord用了之后 我有用Y参数，此时这些点并不在线上，这样随着datazoom不会超出隐藏。如果去掉Y点就在线上，会随着线隐藏。问题就是我们需要把所有的markpoint 定在一条水平线上，所以需要y参数。 SO， How to solve this problem ,markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,-1,hidden;problem;do
6,100pah,3.6.2,2017-07-24 22:37:36,MEMBER,所以这种场景感觉还是用 scatter 或者 custom series 画比较好。,markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,0,无
7,beipiaoyu2011,3.6.2,2017-07-26 18:01:15,NONE AUTHOR,@100pah 已想到解决方案。,markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,0,无
8,renxia,3.6.2,2017-08-21 16:56:38,NONE,最后是如何处理的呢 @huainanhai ,markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,0,无
9,renxia,3.6.2,2017-08-21 17:20:58,NONE,6205现在是使用 'dataZoom' 事件监听当前显示区域，通过 label 的 formatter 配置为方法动态处理的如果官方能给一个可控的参数就好了,markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,1,无
10,cxytomo,3.6.2,2018-03-26 17:25:55,NONE,"@huainanhai @100pah 我的数据举例如下""data"": [{""name"": ""00"",""value"": {""value"":576,""countLevel"":0,""percentLevel"":0,""percent"": ""10""}},{""name"": ""01"",""value"": {""value"":384,""countLevel"":0,""percentLevel"":0,""percent"": ""10""}},{""name"": ""02"",""value"": {""value"":384,""countLevel"":1,""percentLevel"":1,""percent"": ""80""}}]我的场景是percentLevel为1的点我需要去标记出来，点上加个自定义的图形。请问要怎么实现呢？点必须通过坐标来定位么？没有看清配置项，只要{""name"": ""aa"",coord:[data.name, data.value]}即可",markpoint 做的标记 在用缩放轴的时候 会出现在x轴左侧，并不会超出隐藏，什么原因？,1,无
