文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
0,morningman,0.15.0-rc04,2021-12-28 10:41:56,CONTRIBUTOR AUTHOR,"The following is the 【Roadmap】 for the Doris community in 2022.The plan includes all aspects of code 【feature】s, documentation, community building, etc. that are to be developed, have already been developed, and have been completed but require ongoing optimization. The plan is currently under discussion, so if you have comments or suggestions on any aspect of the plan or beyond, please feel free to leave a comment or send an email to dev@doris.apache.org. We will gradually create issues or jira for each direction of the plan to describe and track the progress in detail. Developers who wish to contribute are also welcome to create issues directly and associate with them (just leave a comment) The directions marked (Good First Issue) in the plan are more independent modules, which are more suitable for newbie tasks or developers who are new to Doris. If you are interested in the relevant direction, please contact us at dev@doris.apache.org or under this issue, and we will provide detailed guidance, help and discussion. The directions marked with (Q1) are the current work to be completed in the first quarter of 2022. We will update the schedule and progress of other directions gradually. The marked (Done & Optimizing) directions are the directions that are currently completed but need continuous optimization. Such as ease of use, 【feature】 additions, and documentation additions. We encourage developers to discuss anything in the dev mailing list, to subscribe to the mailing list please refer to [How to subscribe](http://doris.incubator.apache.org/master/en/community/subscribemaillist.html). 【Feature】s     [ ] 7571      [ ] Extensible new query optimizer framework     [ ] 6370     [ ] Standard 【test】 set 【support】 and performance enhancements            + TPCDS 【feature】 pass rate 100%            + TPCH performance enhancements     [ ] 7572     [ ] Pipeline execution engine     [ ] Algorithm Concurrency Control and Resource Control     [ ] 7573     [x] 7570     [ ] Map     [ ] Struct [x] 7574    Provides Schemaless semantics for fast analysis of semistructured data.     [x] Json [x] 7575 (Q1)    【Support】s cold data storage to object storage at partition granularity with remote access capabilities and local Cache acceleration.     [ ] 7503    Doris' current ""materialized view"" is more of a ""materialized index"" concept. Doris will later implement a true Materialized View to 【support】 full and incremental construction of single and multitable views.      [x] 7576    Provide Kudulike data update 【support】.     [x] 7577     [x] WindowFunnel 8485 [ ] 7578    【Support】 for the new UDF framework has solved the problems of high writing difficulty, poor isolation, and poor compatibility with existing C++ frameworks.         [x] UDF 7519     [x] UDAF 8312     [ ] UDTF     [x] Java UDF 8389  [ ] 7579 (Good First Issue)     [ ] 7552     [ ] 7650  [ ] Add more resource limits     [ ] 7129  [ ] More builtin function 【support】     [x] 7678  Performance Optimization [ ] 7580 (Q1)     [x] Query layer vectorization     [x] Storage level vectorization     [x] Vectorization function supplementation     [ ] Query layer storage layer arithmetic unification     [x] Import Vectorization [ ] Json Parsing Optimization (Good First Issue)     [x] 7551 [x] 7743     Optimize the performance of compaction task. And try to refactor the compaction logic. For example, only one replica do the compaction and sync to other replicas. Stability and Observability [x] 7553 (Q1)        Solve the problems of inaccurate memory prediction and OOM, and improve memory observability by global + thread + task level memory management.     [x] 7581    Provides finegrained IO speed limit, priority scheduling, etc. through global IO management. [x] 7582    Introduces OpenTelemetry to enhance system internal state observability and unify monitoring data format. 【Test】ing [ ] 7583     [ ] FE        Refine the FE single 【test】 framework to 【support】 multinode simulation 【test】ing of 【feature】s.         [ ] BE        Provide 【test】ing framework to simplify the difficulty of writing complex unit 【test】s (e.g. data builds) for BE.         [x] 7584    Provide Case collection or submission framework for refining and accumulating regression 【test】 sets. [x] 7585    Provide a Benchmark 【test】ing framework to ensure that adding new code does not impact performance. [ ] 7586    Implement ChaosMesh chaos 【test】ing to improve the correctness and stability of the system in case of anomalies. Functional Optimization [ ] 7149      [x] 7149      [ ] 【Support】 vectorization engine ZOrder     [ ] Agg/Uniq Key model 【support】 for ZOrder     [ ] Schema Change [ ] Lateral View     [x] 【Support】 bitmap, string, jsonarray expansion (Done & Optimizing)     [x] Array type expansion 【support】     [ ] Table Function  [ ] Other 【feature】s     [ ] 7680     [ ] CreateTableAsStmt 【support】 【decimal】 Deployment and Maintenance [ ] 7591 (Q1)    Provides a visual interface for Doris deployment, monitoring, and operations maintenance. Simplifies Doris deployment, scaling, upgrades, task management, status checking, and other operations.     [ ] 7587 (Good First Issue)    Provides a Helm Chartsbased K8S deployment solution. Peripheral Ecology [x] 7588     [x] 6568  (Done & Optimizing)     [x] 7389 (Q1)     [x] Hudi     [ ] Parquet File Format 【Support】            Generate and read Parquet files directly to facilitate Doris data to be read directly by external systems. [ ] Data Integration     [ ] Routine Load 【support】 for Canal format parsing (Q1)     [x] Flink Connector (Done & Optimizing)     [x] Spark Connector (Done & Optimizing)     [ ] SeaTunnel Sink (Done & Optimizing)     [ ] SeaTunnel Source     [x] DataX (Addax) (Done & Optimizing)     [ ] 7781  [ ] Compilation Tools     [x] 7590 (Q1)  Community [x] 7589 (Q1)    Refactored Doris official website to provide best practices, community progress, blog posts, FAQ, and more.     [ ] Doris Documentation (Good First Issue)    Noncode contributions are as important as code contributions, and the community is very open to developers improving and proofreading the project documentation.     [x] 6336     [ ] Reorganization of the official Doris documentation to improve readability, operability, and guidance.     [ ] Translation and proofreading of the English documentation. [ ] Github Action (Good First Issue)    Introduced more Github Actions to help improve the management of the code base. This includes but is not limited to PR autoresponders, tagging, etc. If you have a good Action to recommend, please leave a comment.",Doris 【Roadmap】 2022,-1,load;problem;test;framework;roadmap;support;decimal;feature;help;try;interest;like;implement;welcome;community;task;do;new;improve;newbie;difficult;chart;data;form;state
1,yiguolei,0.15.0-rc04,2021-12-28 10:53:03,CONTRIBUTOR,"For regression 【test】 and performance 【test】, we could follow clickhouse's 【test】 method. If it is allowed, I could do this.",Doris 【Roadmap】 2022,-1,test;clickhouse;roadmap;do;form
2,yiguolei,0.15.0-rc04,2021-12-28 10:56:44,CONTRIBUTOR,"Clang 【compile】 is already on process, see https://github.com/apache/incubatordoris/pull/7451",Doris 【Roadmap】 2022,0,clang compile;roadmap;do
3,EmmyMiao87,0.15.0-rc04,2021-12-28 11:01:43,CONTRIBUTOR,Could you please open an email to discuss 【Roadmap】 2022 of Doris ?,Doris 【Roadmap】 2022,1,roadmap;do
4,yangzhg,0.15.0-rc04,2021-12-28 11:06:54,MEMBER,【支持】parquet 文件【存储格式】也应该加进去吧,Doris 【Roadmap】 2022,1,storage format;roadmap;support;do;form
5,wangshuo128,0.15.0-rc04,2021-12-28 11:08:53,CONTRIBUTOR,希望考虑跨【版本】升级功能。,Doris 【Roadmap】 2022,0,version;roadmap;do
6,Henry2SS,0.15.0-rc04,2021-12-28 11:15:34,CONTRIBUTOR,What about 【support】ing AVRO format in LOAD function?,Doris 【Roadmap】 2022,1,load;roadmap;support;do;form
7,zbtzbtzbt,0.15.0-rc04,2021-12-28 11:51:27,CONTRIBUTOR,Looking forward to push based pipeline engine @morningmancmy @yiguolei,Doris 【Roadmap】 2022,0,roadmap;do
8,hf200012,0.15.0-rc04,2021-12-28 11:59:01,CONTRIBUTOR,Doris Manager：1.Followup Doris Manager upgrade2.User UI interaction improvement3.Doris Manager 【support】s Doris automated upgrade,Doris 【Roadmap】 2022,1,roadmap;support;do;improve
9,924060929,0.15.0-rc04,2021-12-28 14:54:03,CONTRIBUTOR,我们公司已经有一个回归测试框架。大体是用groovy的dsl去完成【测试】sql、stream load、安装tpch等功能，大概使用方式如下图。后续可以提给社区![image](https://userimages.githubusercontent.com/8806055/147537342fd5e9a336c894e0085ac06be6bc403d0.png),Doris 【Roadmap】 2022,-1,load;test;framework;roadmap;community;do;state
